time,team_away,team_home,play_text,team_in_poss,poss_id,score_away,score_home,lineup_away,lineup_home,2pt_made_away,2pt_attempt_away,2pt_made_home,2pt_attempt_home,3pt_made_away,3pt_attempt_away,3pt_made_home,3pt_attempt_home,ft_made_away,ft_attempt_away,ft_made_home,ft_attempt_home,d_reb_away,o_reb_away,d_reb_home,o_reb_home,assist_away,assist_home,turnover_away,turnover_home
15:53:00,Maine,Virginia Tech,"team, timeout short   ",NULL,20,2,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:27:00,Maine,Virginia Tech,"vukasin masic, 3pt pullupjumpshot   made",Maine,21,5,12,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15:03:00,Maine,Virginia Tech,"justyn mutts, 2pt layup pointsinthepaint;  made",Virginia Tech,22,5,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14:40:00,Maine,Virginia Tech,"lechaun duhart, 3pt pullupjumpshot   missed",Maine,23,5,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14:34:00,Maine,Virginia Tech,"kristians feierbergs, 2pt layup 2ndchance;pointsinthepaint;  made",Maine,23,7,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14:34:00,Maine,Virginia Tech,"kristians feierbergs, rebound offensive   ",Maine,23,5,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
14:03:00,Maine,Virginia Tech,"justyn mutts, 2pt hookshot pointsinthepaint;  missed",Virginia Tech,24,7,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14:00:00,Maine,Virginia Tech,"stephane ingo, rebound defensive   ",Maine,25,7,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13:46:00,Maine,Virginia Tech,"stephane ingo, 2pt turnaroundjumpshot pointsinthepaint;blocked;  missed",Maine,25,7,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13:46:00,Maine,Virginia Tech,"keve aluma, block    ",Maine,25,7,14,"['lechaun duhart', 'stephane ingo', 'vukasin masic', ""ja'shonte wright-mcleish"", 'kristians feierbergs']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
