year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,2623075,"mcneil, camron",mcneil,camron,camron mcneil,So,G,11,563
2021,2623076,"jacobs, tadarius",jacobs,tadarius,tadarius jacobs,Fr,G,31,404
2021,2623078,"king, paul",king,paul,paul king,So,G,10,17
2021,2623080,"farrell, jordin",farrell,jordin,jordin farrell,Fr,G,20,17
2021,2623083,"hart, sama'zha",hart,sama'zha,sama'zha hart,Jr,F,22,17
2021,2623087,"pajeaud, mike",pajeaud,mike,mike pajeaud,Fr,G,24,17
2021,2623111,"onu, sam",onu,sam,sam onu,Fr,C,55,404
2021,2623130,"brown, linton",brown,linton,linton brown,So,G,4,596
2021,2623134,"saizonou, joryam",saizonou,joryam,joryam saizonou,Fr,G,3,596
2021,2623135,"durosinmi, oluwasegun",durosinmi,oluwasegun,oluwasegun durosinmi,Fr,F,10,596
2021,2623136,"ndjock-tadjore, justin",ndjock-tadjore,justin,justin ndjock-tadjore,Fr,G,11,596
2021,2623137,"rossi, pedro",rossi,pedro,pedro rossi,Fr,F,20,596
2021,2623139,"mellouk, anouar",mellouk,anouar,anouar mellouk,Fr,F,41,596
2021,2623148,"esparza, daniel",esparza,daniel,daniel esparza,Fr,G,24,90
2021,2623149,"dhal, matur",dhal,matur,matur dhal,Fr,C,35,90
2021,2623152,"mcdowell, damion",mcdowell,damion,damion mcdowell,Fr,F,20,574
2021,2623158,"schmitt, ryan",schmitt,ryan,ryan schmitt,Jr,F,50,299
2021,2623173,"jones jr., derrick",jones jr.,derrick,derrick jones jr.,Fr,G,4,563
2021,2623182,"knecht, dalton",knecht,dalton,dalton knecht,Jr,G,5,502
2021,2623191,"moore, tristan",moore,tristan,tristan moore,Fr,F,21,287
2021,2623195,"pruitt, deejuan",pruitt,deejuan,deejuan pruitt,Fr,F,1,660
2021,2623199,"bloch, zach",bloch,zach,zach bloch,Fr,G,11,502
2021,2623204,"proctor, deshon",proctor,deshon,deshon proctor,Fr,F,12,287
2021,2623216,"kurtas, jonathan",kurtas,jonathan,jonathan kurtas,Fr,C,12,660
